pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
14980,BL,nse_cm,,POWERGRID,POWERGRID-BL,,POWERGRID-BL,INE752E01010,,,,POWER GRID CORP. LTD.,,,5,1,-1,-1,2,-1,NSE,,,876009600,,876009600,0,0,0,0,1455062400,290.00-307.90,0,0,1456077376,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,334821.00,1,0,30790,29000,1,1,1,0,0,1,0,9.3006e+09,0,0,334821,
27319,SG,nse_cm,,713BR34B,713BR34B-SG,,713BR34B-SG,IN1320240147,,,,SDL BR 7.13% 2034,,,1,100,-1,-1,2,-1,NSE,,,1417910400,,1417910400,0,0,0,0,0,95.00-105.00,0,0,1456072749,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
12603,EQ,nse_cm,,PRECAM,PRECAM-EQ,,PRECAM,INE484I01029,,,,PRECISION CAMSHAFTS LTD.,,,1,1,-1,-1,2,-1,NSE,,,1139356800,,1139356800,0,0,0,0,1437696000,115.31-172.95,0,0,1456081179,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,693776.00,1,0,17295,11531,1,1,1,0,0,1,0,9.49858e+07,0,0,693776,Security is under Surveillance Measure - High low price variation was greater than 100% in previous 6 months
757431,EQ,nse_cm,,MOPSE,MOPSE-EQ,,MOPSE,INF247L01FO5,,,,MOTILALAMC - MOPSE,,,1,1,-1,-1,2,-1,NSE,,,1433548800,,1433548800,0,0,0,0,0,83.15-124.71,0,0,1456077275,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,4905.00,1,0,12471,8315,1,1,1,0,0,1,0,150000,0,0,4905,
757169,BL,nse_cm,,MONEXT50,MONEXT50-BL,,MONEXT50-BL,INF247L01FD8,,,,MOTILALAMC - MONEXT50,,,1,1,-1,-1,2,-1,NSE,,,1431648000,,1431648000,0,0,0,0,0,66.57-70.67,0,0,1456077389,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,10300.00,1,0,7067,6657,1,1,1,0,0,1,0,315000,0,0,10300,
16921,EQ,nse_cm,,20MICRONS,20MICRONS-EQ,,20MICRONS,INE144J01027,,,,20 MICRONS LTD,,,1,1,-1,-1,2,-1,NSE,,,907718400,,907718400,0,0,0,0,1437782400,143.01-214.51,0,0,1456081179,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,559396.00,1,0,21451,14301,1,1,1,0,0,1,0,3.52865e+07,0,0,559396,
9255,YQ,nse_cm,,875SCL27,875SCL27-YQ,,875SCL27-YQ,INE148I07LS8,,,,SEC RE NCD 8.75% SR.VII,,,1,1,-1,-1,2,-1,NSE,,,1335916800,,1335916800,0,0,0,0,1397606400,800.00-1200.00,0,0,1456072745,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,6.00,1,0,120000,80000,1,1,1,0,0,1,0,200,0,0,6,
12039,MF,nse_cm,,UTIDAP35P1,UTIDAP35P1-MF,,UTIDAP35P1-MF,INF789F1AWI4,,,,UTIAMC - UTIDAP35P1,,,1,1,-1,-1,2,-1,NSE,,,1353456000,,1353456000,0,0,0,0,0,9.00-11.00,0,0,1456072746,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,26.00,1,0,1100,900,1,1,1,0,0,1,0,800,0,0,26,
5855,NS,nse_cm,,889SCL26,889SCL26-NS,,889SCL26-NS,INE148I07KN1,,,,SEC RE NCD 9.25% SR.VII,,,1,1,-1,-1,2,-1,NSE,,,1317254400,,1317254400,0,0,0,0,1441843200,824.92-1237.38,0,0,1456072745,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,4680.00,1,0,123738,82492,1,1,1,0,0,1,0,143139,0,0,4680,
25462,N0,nse_cm,,AAFS28B,AAFS28B-N0,,AAFS28B-N0,INE0L6807187,,,,AAFS MARKET LINKED 2028,,,1,1,-1,-1,2,-1,NSE,,,1411776000,,1411776000,0,0,0,0,1455408000,80000.00-120000.00,0,0,1456072749,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,965.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,29527,0,0,965,
